"Field","ID","Type (Type)","default","en-us","ar-sa","bg-bg","zh-cn","zh-tw","hr-hr","cs-cz","da-dk","nl-nl","fi-fi","fr-fr","de-de","el-gr","he-il","hu-hu","id-id","it-it","ja-jp","ko-kr","lv-lv","lt-lt","ms-my","nb-no","fa-ir","pl-pl","pt-br","pt-pt","ro-ro","ru-ru","sr-latn-rs","sk-sk","sl-si","es-es","sv-se","th-th","tr-tr","uk-ua","vi-vn"
"Description","2","Text","","SkyImager is a utility that helps format and create bootable USB flash drives, such as USB keys/pendrives, memory sticks, etc.
• Official site: https://skyious.github.io/SkyImager
• Source Code: https://github.com/SKYIOUS/SkyImager
• ChangeLog: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","?????? SkyImager ?? ???? ????? ?? ????? ?????? ????? ??????? USB? ??? ?????? USB? ?????? ???????? ??????.
• ?????? ??????: https://skyious.github.io/SkyImager
• ??? ??????: https://github.com/SKYIOUS/SkyImager
• ??? ?????????: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager ? ????????, ? ????? ?????? ????? ?? ??????????? ? ????????? ?????????? USB ??????????, ????? ? ????? ? ??.
• ????????? ????: https://skyious.github.io/SkyImager
• ??????? ???: https://github.com/SKYIOUS/SkyImager
• ??? ?? ?????????: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager ??????????????? USB ???(? U ?????)????
• ????: https://skyious.github.io/SkyImager
• ???: https://github.com/SKYIOUS/SkyImager
• ????: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager ???????????? USB ???? (? USB ????) ????
• ????: https://skyious.github.io/SkyImager
• ???: https://github.com/SKYIOUS/SkyImager
• ????: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager je aplikacija koja olakšava formatiranje i stvaranje USB pokretackih jedinica.
• Službena stranica: https://skyious.github.io/SkyImager
• Šifra izvora: https://github.com/SKYIOUS/SkyImager
• ChangeLog: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager je nástroj, který pomáhá formátovat a vytváret bootovací USB flash disky, jako jsou USB klíce, pametové karty atd.
• Oficiální stránky: https://skyious.github.io/SkyImager
• Zdrojový kód: https://github.com/SKYIOUS/SkyImager
• Protokol zmen: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager er et værktøj, der hjælper med at formatere og skabe startbare USB-flashdrev, såsom USB-nøgler/USB-pinde, USB-stik, osv.
• Officiel side: https://skyious.github.io/SkyImager
• Kildekode: https://github.com/SKYIOUS/SkyImager
• Ændrings log: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager is een programma dat helpt bij het formatteren en aanmaken van opstartbare USB-flash-drives, zoals USB-sticks, geheugensticks, enz.
• Officiële site: https://skyious.github.io/SkyImager
• Broncode: https://github.com/SKYIOUS/SkyImager
• Wijzigingslog: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager on ohjelma, joka auttaa alustamaan ja luomaan boottaavia USB-laitteita, kuten esimerkiksi USB-avaimia, muistitikkuja jne.
• Virallinen sivusto: https://skyious.github.io/SkyImager
• Lähdekoodi: https://github.com/SKYIOUS/SkyImager
• Muutosloki: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager est un utilitaire permettant de formater et de créer des média USB amorçables, tels que clés USB, mémoire flash, etc.
• Site officiel : https://skyious.github.io/SkyImager
• Code source: https://github.com/SKYIOUS/SkyImager
• ChangeLog: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager ist ein Werkzeug, das beim Formatieren und Erstellen bootfähiger USB-Flash-Laufwerke wie USB-Sticks, Speichersticks usw. hilft.
• Offizielle Website: https://skyious.github.io/SkyImager
• Quellcode: https://github.com/SKYIOUS/SkyImager
• Änderungsprotokoll: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","?? SkyImager e??a? ??a ß????t??? p????aµµa p?? ß???? st? d?aµ??f?s? ?a? t? d?µ??????a µ???d?? flash USB µe d??at?t?ta e?????s??, ?p?? ??e?d?? USB/pendrives,???te? µ??µ?? ?.?p.
• ?p?s?µ?? ?st?t?p??: https://skyious.github.io/SkyImager
• ???a??? ??d??a?: https://github.com/SKYIOUS/SkyImager
• ???e?? ?ata??af?? a??a???: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager ??? ??? ?????? ?????? ?????? ????? ???? ???? USB ??????? ??????, ??? ???? ??? ??, ?????? ?????? ????.
• ???? ?????: https://skyious.github.io/SkyImager
• ??? ????: https://github.com/SKYIOUS/SkyImager
• ????? ?????: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","A SkyImager egy segédprogram, amellyel bootolható USB flash meghajtókat formázhat és készíthet, például USB kulcsokat/pendrive-okat, memóriakártyákat, stb.
• Hivatalos oldal: https://skyious.github.io/SkyImager
• Forráskód: https://github.com/SKYIOUS/SkyImager
• Változási napló: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager adalah alat yang membantu untuk memformat dan membuat perangkat USB flash menjadi bootable, seperti USB flashdisk, kartu memori, dll.
• Situs resmi: https://skyious.github.io/SkyImager
• Kode Sumber: https://github.com/SKYIOUS/SkyImager
• Catatan pergantian: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager è un programma che ti aiuta a formattare e creare una unità flash USB avviabile, come una unità USB, memory stick, ecc.
• Sito ufficiale: https://skyious.github.io/SkyImager
• Codice sorgente: https://github.com/SKYIOUS/SkyImager
• Novità: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager (?????) ????????USB?????????(USB?????)????????????????????????????
• ?????: https://skyious.github.io/SkyImager
• ??????: https://github.com/SKYIOUS/SkyImager
• ????: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager? USB ??? ? ??? ????? ???? ??? ? ??? ??? ?????.
• ?? ???: https://skyious.github.io/SkyImager
• ?? ??: https://github.com/SKYIOUS/SkyImager
• ?? ??: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager ir instruments ar kura palidzibu var formatet un izveidot USB ielades ierices uz tadiem nesejiem, ka USB piesleguma zibatminas, atminas kartes u.c.
• Oficiala majas lapa: https://skyious.github.io/SkyImager
• Sakotnejais kods: https://github.com/SKYIOUS/SkyImager
• Izmainas: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager programa leidžia suženklinti ir sukurti sistemu paleidimo laikmenas, kaip pvz. USB atmintukus, atminties korteles ir pan.
• Oficiali svetaine: https://skyious.github.io/SkyImager
• Šaltinio kodas: https://github.com/SKYIOUS/SkyImager
• Pakeitimu žurnalas: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager adalah utiliti yang membantu memformat dan mencipta pemacu kilat USB boot, seperti pemacu pen/kekunci USB, kayu memori, dan lain-lain.
• Laman rasmi: https://skyious.github.io/SkyImager
• Kod Sumber: https://github.com/SKYIOUS/SkyImager
• ChangeLog: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager er et verktøy som hjelper til med å formatere og lage oppstartbare USB-stasjoner, for eksempel USB-minnepinner, USB-harddisker, og lignende.
• Offisiell webside: https://skyious.github.io/SkyImager
• Kildekode: https://github.com/SKYIOUS/SkyImager
• Endringslogg: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager ?????? ??? ?? ?? ???? ? ????? ???????? ??? USB ???? ???? ????? ??????? USB/pendrives? ????? ????? ?? ? ???? ?? ??? ??? ?? ???.
• ???? ????: https://skyious.github.io/SkyImager
• ???? ??: https://github.com/SKYIOUS/SkyImager
• ???? ??????? https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager to narzedzie, które pomaga formatowac i tworzyc dyski rozruchowe flash USB, takie jak klucze USB, pendrive-y itp.
• Oficjalna strona: https://skyious.github.io/SkyImager
• Kod zródlowy: https://github.com/SKYIOUS/SkyImager
• Zmiany: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager é um utilitário que ajuda a formatar e a criar unidades flash USB inicializáveis, tais como pendrives USB, cartões de memória, etc.
• Site oficial: https://skyious.github.io/SkyImager
• Código fonte: https://github.com/SKYIOUS/SkyImager
• Registro de alterações: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","O SkyImager é um utilitário que ajuda a formatar e a criar unidades USB inicializáveis, tais como dispositivos USB/pendrives, cartões de memória, etc.
• Página oficial: https://skyious.github.io/SkyImager
• Código fonte: https://github.com/SKYIOUS/SkyImager
• Alterações: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager este un utilitar care ajuta la formatarea ?i crearea de drive-uri USB bootabile, precum cheile sau pendriverele USB, unita?i de memorie, etc.
• Site oficial: https://skyious.github.io/SkyImager
• Cod sursa: https://github.com/SKYIOUS/SkyImager
• Lista de schimbari: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager - ??? ??????? ??? ?????????????? ? ???????? ??????????? ????-??????????? USB.
• ??????????? ????: https://skyious.github.io/SkyImager
• ???????? ???: https://github.com/SKYIOUS/SkyImager
• ?????????: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager je uslužni program koji pomaže u formatiranju i kreiranju USB fleš diskova koji se mogu pokretati, kao što su USB kljucevi, memorijski štapici itd.
• Zvanican sajt: https://skyious.github.io/SkyImager
• Izvorni kod: https://github.com/SKYIOUS/SkyImager
• Evidencija promena: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager je utilita, ktorá vám pomôže naformátovat a vytvorit bootovacie jednotky USB Flash, ako sú napr. USB klúce, pamätové karty, atd.
• Oficiálna stránka: https://skyious.github.io/SkyImager
• Zdrojový kód: https://github.com/SKYIOUS/SkyImager
• Zoznam zmien: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager je program za formatiranje in ustvarjanje zagonskih naprav USB.
• Uradna stran: https://skyious.github.io/SkyImager
• Šifra vira: https://github.com/SKYIOUS/SkyImager
• Spremenitve: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager es una utilidad que le ayuda a formatear y crear dispositivos flash booteables, como «pendrives», tarjetas de memoria, etcétera.
• Sitio oficial https://skyious.github.io/SkyImager
• Código fuente https://github.com/SKYIOUS/SkyImager
• Registro de cambios https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager är ett program som hjälper dig formatera och skapa startbara USB-diskar, så som USB-minnen, minneskort, etc.
• Officiell webbplats: https://skyious.github.io/SkyImager
• Källkod: https://github.com/SKYIOUS/SkyImager
• Ändringslogg: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager ??? ????????????????????? ???????????????? USB ??? USB keys, pendrives, memory sticks ???????
• ??????????????: https://skyious.github.io/SkyImager
• ?????????: https://github.com/SKYIOUS/SkyImager
• ????????????????????: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager, USB anahtar/bellekler, hafiza kartlari vb. USB sürücüleri, biçimlendirmeye ve önyüklemeli hale getirmeye yardimci olan bir araçtir.
• Resmi site: https://skyious.github.io/SkyImager
• Kaynak Kodu: https://github.com/SKYIOUS/SkyImager
• Sürüm Notlari https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager ?? ???????, ??? ????????? ??????????? ?? ?????????? ??????????????? ??????, ?????? ???'???, ????.
• ????????? ????: https://skyious.github.io/SkyImager
• ???????? ???: https://github.com/SKYIOUS/SkyImager
• ?????? ????: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt","SkyImager là m?t ti?n ích giúp d?nh d?ng và t?o kh? nang kh?i d?ng cho các thi?t b? USB, ví d? nhu th? USB/dia di d?ng, th? nh?, v.v...
• Trang web chính th?c: https://skyious.github.io/SkyImager
• Mã ngu?n: https://github.com/SKYIOUS/SkyImager
• Nh?t ký thay d?i: https://github.com/SKYIOUS/SkyImager/blob/master/ChangeLog.txt"
"ReleaseNotes","3","Text","• Windows User Experience improvements:
•   - Add a ""Quality of Life"" option, to disable Teams, Outlook, Copilot and other Microsoft forced nuisances
•   - Add a Silent installation option, that automatically, and WITHOUT PROMPT, installs Windows on the first detected disk
•   - Add an option to copy 'SkuSiPolicy.p7b' to the ESP on installation (please refer to KB5042562 for more info)
•   - Add tooltips for all the dialog options
• Add limited support for El-Torito UEFI image extraction (Mostly for Dell BIOS update ISOs)
• Improve error report when the user tries to use an image that resides on the target drive
• Improve the UEFI:NTFS partition label to make the install media more explicit during Windows Setup disk partitioning
• Improve support for Bazzite and other Fedora derivatives that don't follow EFI conventions
• Improve detection and exclusion of the new Bitdefender hidden VHDs
• Improve reporting of GRUB and Isolinux MBRs
• Fix potential errors during creation of Windows To Go media, due to the use of new versions of bcdboot
• Fix errors with local accounts that start or end with whitespaces",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Title","4","Text","SkyImager",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShortTitle","5","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SortTitle","6","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VoiceTitle","7","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShortDescription","8","Text","","SkyImager - The Reliable USB Formatting Utility","SkyImager - ???? ????? ??? USB ????? ??????","SkyImager - ?????????? USB ??????????? ????????","SkyImager - ??? USB ?????","SkyImager - ????? USB ?????","SkyImager - Pouzdan alat za formatiranje USB-a","SkyImager - Spolehlivý program pro formátování USB","SkyImager - Det pålidelige USB-formateringsværktøj","SkyImager - de betrouwbare USB-formatteertool","SkyImager - Luotettava USB-alustusohjelma","SkyImager - L'utilitaire de formatage USB fiable","SkyImager - Das zuverlässige USB-Formatierungstool","SkyImager - ??a a???p?st? efa?µ??? d?aµ??f?s?? USB","SkyImager - ???? ?????? USB ????? ?????","SkyImager - A megbízható USB-formázó segédprogram","SkyImager - Utilitas Pemformatan USB yang Handal","SkyImager - Utility affidabile per la formattazione di unità USB","SkyImager - ?????? USB ?????? ???????","SkyImager - ??? ? ?? USB ?? ????","SkyImager - uzticama un vienkarša USB formatešanas utilita","SkyImager - patikima USB formatavimo priemone","SkyImager - Utiliti pemformatan USB yang dipercayai","SkyImager - Det pålitelige USB-formateringsprogrammet","SkyImager? ?????? ??????? ? ???????????? ???? ???? ???? ???????? USB","SkyImager - niezawodne narzedzie do formatowania USB","SkyImager - O Utilitário de Formatação USB Confiável","SkyImager - O utilitário de confiança para formatação USB","SkyImager - Instrumentul de încredere pentru formatari USB","SkyImager - ???????? ??????? ??? ?????????????? USB-??????","SkyImager - Pouzdan Alat Za Formatiranje USB diska","SkyImager - Spolahlivý program pre formátovanie USB","SkyImager - zanesljivi pripomocek za USB formatiranje","SkyImager, la herramienta de formateo de USBs en la que puedes confiar","SkyImager - Det pålitliga verktyget för USB-formatering","SkyImager - ??????????????????? USB ???????????","SkyImager - Güvenilir USB Biçimlendirme Programi","SkyImager - ??????? ??????? ??? ???????????? USB-?????????????","SkyImager - Ti?n ích Ð?nh d?ng USB Ðáng tin c?y"
"DevStudio","9","Text","Pete Batard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CopyrightTrademarkInformation","12","Text","© 2011-2026 Pete Batard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AdditionalLicenseTerms","13","Text","https://www.gnu.org/licenses/gpl-3.0.html","This application is licensed under the terms of the GNU Public License (GPL) version 3.
See https://www.gnu.org/licenses/gpl-3.0.en.html for details.","??? ??????? ????? ????? ???? ???? ??? (GNU) ???????? (GPL) ??????? 3.
???? https://www.gnu.org/licenses/gpl-3.0.ar.html ????? ?? ????????.","???? ???????? ? ??????????? ?????? ????????? ?? GNU Public License (GPL) ?????? 3.
????? https://www.gnu.org/licenses/gpl-3.0.html ?? ???????????.","????? GNU ??????? (GPL) ????
?????? https://www.gnu.org/licenses/gpl-3.0.zh-cn.html?","????? GNU ??????? (GPL) ????
?????? https://www.gnu.org/licenses/gpl-3.0.zh-tw.html?","Ova je aplikacija licencirana pod uvjetima GNU Javne licence (GPL) verzije 3.
Detalje potražite u https://www.gnu.org/licenses/gpl-3.0.html.","Tato aplikace je licencována podle podmínek GNU Public License (GPL) verze 3.
Podrobnosti naleznete na adrese https://www.gnu.org/licenses/gpl-3.0.html.","Denne application er licenceret under GNU Public License (GPL) version 3's vilkår.
Se https://www.gnu.org/licenses/gpl-3.0.html for detaljer.","Deze toepassing valt onder de voorwaarden van de GNU Public License (GPL) versie 3.
Zie https://www.gnu.org/licenses/gpl-3.0.nl.html voor details.","Tämä sovellus on lisensoitu GNU Public License (GPL) version 3 ehtojen mukaisesti.
Lisätietoja osoitteessa https://www.gnu.org/licenses/gpl-3.0.html (englanniksi).","Cette application est fournie sous les termes de la Licence publique générale GNU (GPL) version 3.
Veuillez consulter https://www.gnu.org/licenses/gpl-3.0.fr.html pour plus de details.","Diese Anwendung ist unter den Bedingungen der GNU Public License (GPL) Version 3 lizenziert.
Siehe https://www.gnu.org/licenses/gpl-3.0.de.html für Details.","??t? ? efa?µ??? ??e? ?de?a ???s?? s?µf??a µe t??? ????? t?? GNU Public License (GPL) ??d?s? 3.
?e?te https://www.gnu.org/licenses/gpl-3.0.html ??a ?ept?µ??e?e?.","????? ?? ??????? ??? ?????? ?? ???? 3 ?? ??????? ??????? ?? ??? (GPL).
?????? ??????, ?? ?????? ?? https://www.gnu.org/licenses/gpl-3.0.html.","Ezen alkalmazás használata a GNU Public License (GPL) 3-as verzió feltételei szerint engedélyezett.
További információ: https://www.gnu.org/licenses/gpl-3.0.html.","Aplikasi ini dilisensikan di bawah ketentuan GNU Public License (GPL) versi 3.
Lihat https://www.gnu.org/licenses/gpl-3.0.html untuk detail lebih lanjut.","Questa applicazione è rilasciata sotto i termini della GNU Public License (GPL) versione 3.
Vedere https://www.gnu.org/licenses/gpl-3.0.html per dettagli.","???????????GNU Public License (GPL) version 3?????????????
??? https://www.gnu.org/licenses/gpl-3.0.ja.html ????????","? ?? ????? GNU Public License (GPL) ?? 3? ??? ?? ????? ?????.
??? ??? https://www.gnu.org/licenses/gpl-3.0.html ? ?????.","Šai programmai ir licences noteikumi, ka GNU Public License (GPL) version 3.
Papildinformacijai skatit https://www.gnu.org/licenses/gpl-3.0.html.","Ši programa yra licencijuota pagal GNU viešosios licencijos (GPL) 3 versijos salygas.
Daugiau informacijos rasite https://www.gnu.org/licenses/gpl-3.0.html.","Permohonan ini dilesenkan di bawah syarat-syarat Lesen Awam GNU (GPL) versi 3.
Lihat https://www.gnu.org/licenses/gpl-3.0.html untuk butiran.","Dette programmet er lisensiert under GNU Public Licence (GPL) versjon 3.
Se https://www.gnu.org/licenses/gpl-3.0.html for mer informasjon.","??? ?????? ??? ????? ???? ????? ??? (GPL) ???? 3 ???? ????.
???? ?????? ?? https://www.gnu.org/licenses/gpl-3.0.html ?????? ????.","Ta aplikacja jest objeta licencja na warunkach licencji publicznej GNU (GPL) w wersji 3.
Z obacz https://www.gnu.org/licenses/gpl-3.0.html, aby uzyskac szczególowe informacje.","Este software está licenciado sob os termos da GNU Public License (GPL) versão 3.
Consulte https://www.gnu.org/licenses/gpl-3.0.pt-br.html para mais detalhes.","Este software está licenciado sob os termos da GNU Public License (GPL) versão 3.
Consulte https://www.gnu.org/licenses/gpl-3.0.html para mais detalhes.","Aceasta aplica?ie este licen?iata conform termenilor GNU Public License (GPL) versiunea 3.
Vezi https://www.gnu.org/licenses/gpl-3.0.en.html pentru detalii.","??? ?????????? ???????????????? ?? ???????? GNU Public License (GPL) ?????? 3.
????????? ??. https://www.gnu.org/licenses/gpl-3.0.ru.html.","Ova aplikacija je licencirana pod uslovima GNU Javne licence (GPL) verzije 3. 
Pogledajte https://www.gnu.org/licenses/gpl-3.0.en.html za više informacija.","Táto aplikácia je licencovaná podla podmienok GNU Public License (GPL) verzia 3.
Podrobnosti nájdete na https://www.gnu.org/licenses/gpl-3.0.html.","Ta aplikacija je licencirana pod pogoji GNU Javne licence (GPL) razlicice 3.
Oglejte si https://www.gnu.org/licenses/gpl-3.0.html podrobnosti.","Esta aplicación tiene licencia bajo los términos de la Licencia Pública GNU (GPL) versión 3.
Consulte https://www.gnu.org/licenses/gpl-3.0.html para obtener más información.","Denna applikation är licensierad under villkoren i GNU Public License (GPL) version 3.
Se https://www.gnu.org/licenses/gpl-3.0.en.html för mer information.","??????????????????????????????????????????? GNU Public License (GPL) ???????? 3
?????????????????? https://www.gnu.org/licenses/gpl-3.0.html","Bu uygulama, GNU Kamu Lisansi (GPL) sürüm 3'ün kosullari altinda lisanslanmistir.
Detaylar için https://www.gnu.org/licenses/gpl-3.0.tr.html sayfasini ziyaret edin.","?? ???????? ??????????? ?????? ? ??????? GNU Public License (GPL) version 3.
??????: https://www.gnu.org/licenses/gpl-3.0.uk.html.","Ph?n m?m này dã du?c c?p phép du?i các di?u kho?n c?a GNU Public License (GPL) phiên b?n 3.
Xem t?i https://www.gnu.org/licenses/gpl-3.0.html d? bi?t thêm chi ti?t."
"DesktopScreenshot1","100","Relative path (or URL to file in Partner Center)","","listing/en-us/Screenshot1.png","listing/ar-sa/Screenshot1.png","listing/bg-bg/Screenshot1.png","listing/zh-cn/Screenshot1.png","listing/zh-tw/Screenshot1.png","listing/hr-hr/Screenshot1.png","listing/cs-cz/Screenshot1.png","listing/da-dk/Screenshot1.png","listing/nl-nl/Screenshot1.png","listing/fi-fi/Screenshot1.png","listing/fr-fr/Screenshot1.png","listing/de-de/Screenshot1.png","listing/el-gr/Screenshot1.png","listing/he-il/Screenshot1.png","listing/hu-hu/Screenshot1.png","listing/id-id/Screenshot1.png","listing/it-it/Screenshot1.png","listing/ja-jp/Screenshot1.png","listing/ko-kr/Screenshot1.png","listing/lv-lv/Screenshot1.png","listing/lt-lt/Screenshot1.png","listing/ms-my/Screenshot1.png","listing/nb-no/Screenshot1.png","listing/fa-ir/Screenshot1.png","listing/pl-pl/Screenshot1.png","listing/pt-br/Screenshot1.png","listing/pt-pt/Screenshot1.png","listing/ro-ro/Screenshot1.png","listing/ru-ru/Screenshot1.png","listing/sr-latn-rs/Screenshot1.png","listing/sk-sk/Screenshot1.png","listing/sl-si/Screenshot1.png","listing/es-es/Screenshot1.png","listing/sv-se/Screenshot1.png","listing/th-th/Screenshot1.png","listing/tr-tr/Screenshot1.png","listing/uk-ua/Screenshot1.png","listing/vi-vn/Screenshot1.png"
"DesktopScreenshot2","101","Relative path (or URL to file in Partner Center)","","listing/en-us/Screenshot2.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DesktopScreenshot3","102","Relative path (or URL to file in Partner Center)","","listing/en-us/Screenshot3.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DesktopScreenshot4","103","Relative path (or URL to file in Partner Center)","","listing/en-us/Screenshot4.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DesktopScreenshot5","104","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DesktopScreenshot6","105","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DesktopScreenshot7","106","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DesktopScreenshot8","107","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DesktopScreenshot9","108","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DesktopScreenshot10","109","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DesktopScreenshotCaption1","150","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DesktopScreenshotCaption2","151","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DesktopScreenshotCaption3","152","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DesktopScreenshotCaption4","153","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DesktopScreenshotCaption5","154","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DesktopScreenshotCaption6","155","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DesktopScreenshotCaption7","156","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DesktopScreenshotCaption8","157","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DesktopScreenshotCaption9","158","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DesktopScreenshotCaption10","159","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshot1","200","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshot2","201","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshot3","202","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshot4","203","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshot5","204","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshot6","205","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshot7","206","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshot8","207","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshot9","208","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshot10","209","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshotCaption1","250","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshotCaption2","251","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshotCaption3","252","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshotCaption4","253","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshotCaption5","254","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshotCaption6","255","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshotCaption7","256","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshotCaption8","257","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
